CountryName,Federation
Belgium,UEFA
France,UEFA
Poland,UEFA
Egypt,CAF
Norway,UEFA
England,UEFA
Holland,UEFA
Argentina,CONMEBOL
Croatia,UEFA
Germany,UEFA
Brazil,CONMEBOL
Portugal,UEFA
Spain,UEFA
South Korea,AFC
Slovenia,UEFA
Senegal,CAF
Uruguay,CONMEBOL
Colombia,CONMEBOL
Italy,UEFA
Austria,UEFA
Serbia,UEFA
Slovakia,UEFA
Denmark,UEFA
Canada,CONCACAF
Algeria,CAF
Morocco,CAF
Scotland,UEFA
Costa Rica,CONCACAF
Mali,CAF
Cameroon,CAF
Nigeria,CAF
Ukraine,UEFA
Ivory Coast,CAF
Switzerland,UEFA
Guinea,CAF
United States,CONCACAF
Ghana,CAF
Turkey,UEFA
Iran,AFC
Sweden,UEFA
Georgia,UEFA
Mexico,CONCACAF
Czech Republic,UEFA
Greece,UEFA
Montenegro,UEFA
Bosnia and Herzegovina,UEFA
Central African Republic,CAF
Armenia,UEFA
Kosovo,UEFA
Japan,AFC
Burkina Faso,CAF
Northern Ireland,UEFA
Gabon,CAF
Russia,UEFA
Peru,CONMEBOL
Mozambique,CAF
Chile,CONMEBOL
Wales,UEFA
Ecuador,CONMEBOL
Togo,CAF
North Macedonia,UEFA
Hungary,UEFA
Paraguay,CONMEBOL
Jamaica,CONCACAF
Albania,UEFA
Finland,UEFA
Democratic Republic of Congo,CAF
Guinea-Bissau,CAF
Zambia,CAF
Libya,CAF
Suriname,CONCACAF
Qatar,AFC
Saudi Arabia,AFC
Tunisia,CAF
Venezuela,CONMEBOL
Dominican Republic,CONCACAF
Australia,AFC
Republic of Ireland,UEFA
Zimbabwe,CAF
Romania,UEFA
Kenya,CAF
United Arab Emirates,AFC
The Gambia,CAF
Angola,CAF
Israel,UEFA
Guadeloupe,CONCACAF
Bulgaria,UEFA
New Zealand,OFC
Cape Verde Islands,CAF
Uzbekistan,AFC
Martinique,CONCACAF
Honduras,CONCACAF
Namibia,CAF
Trinidad and Tobago,CONCACAF
Syria,AFC
South Africa,CAF
China PR,AFC
Luxembourg,UEFA
Bolivia,CONMEBOL
Iceland,UEFA
Congo,CAF
Grenada,CONCACAF
Niger,CAF
Cyprus,UEFA
Iraq,AFC
Philippines,AFC
Curaçao,CONCACAF
Comoros,CAF
Estonia,UEFA
Panama,CONCACAF
Benin,CAF
French Guiana,CONCACAF
New Caledonia,OFC
Malta,UEFA
Equatorial Guinea,CAF
Sierra Leone,CAF
Guatemala,CONCACAF
Kazakhstan,UEFA
Moldova,UEFA
Madagascar,CAF
Cuba,CONCACAF
Azerbaijan,UEFA
Liberia,CAF
Burundi,CAF
Thailand,AFC
Tanzania,CAF
Mauritania,CAF
Belarus,UEFA
Lithuania,UEFA
Ethiopia,CAF
Andorra,UEFA
Latvia,UEFA
Kuwait,AFC
Kyrgyzstan,AFC
Jordan,AFC
El Salvador,CONCACAF
Singapore,AFC
Indonesia,AFC
Malaysia,AFC
India,AFC
Bahrain,AFC
